date,rank,id,brand,name,price,badge,link
"2026-04-20","63","1048634893","MQNY","MQNY Waterproof Pen Eyeliner - 3 Colors","₩ 10,181","","https://www.yesstyle.com/en/mqny-mqny-waterproof-pen-eyeliner-3-colors-0-6g/info.html/pid.1048634893"
"2026-04-20","64","1131154181","celimax","Pore+ Dark Spot Brightening Care Sunscreen","₩ 22,462","","https://www.yesstyle.com/en/celimax-pore-dark-spot-brightening-care-sunscreen-50ml/info.html/pid.1131154181"
"2026-04-20","65","1123999568","Judydoll","Slim Liquid Eyeliner - 4 Classic Ultra-Fine Colours","₩ 14,221","","https://www.yesstyle.com/en/judydoll-slim-liquid-eyeliner-4-classic-ultra-fine-colours-04-gray/info.html/pid.1123999568"
"2026-04-20","66","1121981732","APLB","Glutathione Niacinamide Facial Cream","₩ 26,842","","https://www.yesstyle.com/en/aplb-glutathione-niacinamide-facial-cream-55ml/info.html/pid.1121981732"
"2026-04-20","67","1136855059","Centellian24","Madeca Cream Time Reverse Zero 80ml","₩ 25,210","","https://www.yesstyle.com/en/centellian24-madeca-cream-time-reverse-zero-80ml-80ml/info.html/pid.1136855059"
"2026-04-20","68","1122056968","Kao","Biore UV Aqua Rich Watery Essence Sunscreen SPF 50+ PA++++","₩ 23,594","","https://www.yesstyle.com/en/kao-biore-uv-aqua-rich-watery-essence-sunscreen-spf-50-pa-70g-2025/info.html/pid.1122056968"
"2026-04-20","69","1134325105","celimax","Oil Control Mattifying Sun Stick","₩ 21,170","","https://www.yesstyle.com/en/celimax-oil-control-mattifying-sun-stick-19g/info.html/pid.1134325105"
"2026-04-20","70","1127264626","Purito SEOUL","Wonder Releaf Centella Serum Unscented","₩ 23,755","","https://www.yesstyle.com/en/purito-seoul-wonder-releaf-centella-serum-unscented-60ml/info.html/pid.1127264626"
"2026-04-20","71","1103198080","Mary&May","Tranexamic Acid + Glutathione Eye Cream","₩ 15,998","","https://www.yesstyle.com/en/mary-may-tranexamic-acid-glutathione-eye-cream-30g/info.html/pid.1103198080"
"2026-04-20","72","1131583092","Purito SEOUL","Wonder Releaf Centella BB Cream - 6 Colors","₩ 17,776","","https://www.yesstyle.com/en/purito-seoul-wonder-releaf-centella-bb-cream-6-colors-13-neutral-ivory/info.html/pid.1131583092"
"2026-04-20","73","1134047328","medicube","PDRN Pink Collagen Gel Mask Set","₩ 30,058","","https://www.yesstyle.com/en/medicube-pdrn-pink-collagen-gel-mask-set-28g-x-4-sheets/info.html/pid.1134047328"
"2026-04-20","74","1083257472","TIRTIR","Milk Skin Toner Jumbo","₩ 46,056","","https://www.yesstyle.com/en/tirtir-milk-skin-toner-jumbo-150ml/info.html/pid.1083257472"
"2026-04-20","75","1137172064","Dr.Reju-All","Advanced PDRN Rejuvenating Cream","₩ 72,720","","https://www.yesstyle.com/en/dr-reju-all-advanced-pdrn-rejuvenating-cream-20ml/info.html/pid.1137172064"
"2026-04-20","76","1136952694","Centellian24","Madeca Cream Time Reverse Mini","₩ 8,888","","https://www.yesstyle.com/en/centellian24-madeca-cream-time-reverse-mini-15ml/info.html/pid.1136952694"
"2026-04-20","77","1136854881","Anua","PDRN Hyaluronic Acid Hydrating Capsule Mist","₩ 37,330","","https://www.yesstyle.com/en/anua-pdrn-hyaluronic-acid-hydrating-capsule-mist-100ml/info.html/pid.1136854881"
"2026-04-20","78","1134226130","mixsoon","Bean Sun Serum","₩ 42,468","","https://www.yesstyle.com/en/mixsoon-bean-sun-serum-50ml/info.html/pid.1134226130"
"2026-04-20","79","1132570151","celimax","Noni Ampoule Calming + Radiance Jumbo","₩ 31,674","","https://www.yesstyle.com/en/celimax-noni-ampoule-calming-radiance-jumbo-50ml/info.html/pid.1132570151"
"2026-04-20","80","1118209017","mixsoon","Centella Cleansing Foam","₩ 27,472","","https://www.yesstyle.com/en/mixsoon-centella-cleansing-foam-2024-version-150ml/info.html/pid.1118209017"
