date,rank,id,brand,name,currency,priceNum,price,originalPriceNum,originalPrice,badge,reviewCount,link
"2026-08-24","0","1137908658","Beauty of Joseon","Relief Sun: Rice + Probiotics","USD","243.47","Mex$ 243.47","336.9","Mex$ 336.90","#1","27551","https://www.yesstyle.com/en/beauty-of-joseon-relief-sun-rice-probiotics-50ml/info.html/pid.1137908658"
"2026-08-24","1","1124698946","Dr. Althea","345 Relief Cream","USD","411.1","Mex$ 411.10","456.77","Mex$ 456.77","#2","29682","https://www.yesstyle.com/en/dr-althea-345-relief-cream-renewed-50ml/info.html/pid.1124698946"
"2026-08-24","2","1121503383","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum Twin Pack","USD","286.48","Mex$ 286.48","530.61","Mex$ 530.61","#3","29390","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-twin-pack/info.html/pid.1121503383"
"2026-08-24","3","1130222654","Beauty of Joseon","Relief Sun Aqua-fresh","USD","213.68","Mex$ 213.68","336.9","Mex$ 336.90","#4","8627","https://www.yesstyle.com/en/beauty-of-joseon-relief-sun-aqua-fresh-50ml/info.html/pid.1130222654"
"2026-08-24","4","1136792645","NINELESS","My Fit Sheet Mask 1 sheet - 7 Types","USD","16.92","Mex$ 16.92","99.53","Mex$ 99.53","#5","618","https://www.yesstyle.com/en/nineless-my-fit-sheet-mask-1-sheet-7-types-no-1-azelaic-acid/info.html/pid.1136792645"
"2026-08-24","5","1130946339","celimax","The Vita-A Retinal Shot Tightening Booster","USD","388.8","Mex$ 388.80","431.98","Mex$ 431.98","#6","16525","https://www.yesstyle.com/en/celimax-the-vita-a-retinal-shot-tightening-booster-15ml/info.html/pid.1130946339"
"2026-08-24","6","1120355496","Mary&May","Tranexamic Acid + Glutathione Eye Cream Mini","USD","44.92","Mex$ 44.92","71.3","Mex$ 71.30","#7","10164","https://www.yesstyle.com/en/mary-may-tranexamic-acid-glutathione-eye-cream-mini-12g/info.html/pid.1120355496"
"2026-08-24","7","1132449411","Anua","Azelaic Acid 10 Hyaluron Redness Soothing Serum","USD","287.48","Mex$ 287.48","435.86","Mex$ 435.86","#8","10922","https://www.yesstyle.com/en/anua-azelaic-acid-10-hyaluron-redness-soothing-serum-30ml/info.html/pid.1132449411"
"2026-08-24","8","1136616200","Arencia","Vitamin C Booster Shot","USD","243.61","Mex$ 243.61","406.02","Mex$ 406.02","#9","6065","https://www.yesstyle.com/en/arencia-vitamin-c-booster-shot-30ml/info.html/pid.1136616200"
"2026-08-24","9","1129733663","Purito SEOUL","Mighty Bamboo Panthenol Cream","USD","189.47","Mex$ 189.47","366.37","Mex$ 366.37","#10","20028","https://www.yesstyle.com/en/purito-seoul-mighty-bamboo-panthenol-cream-100ml/info.html/pid.1129733663"
"2026-08-24","10","1124536886","APLB","Glutathione Niacinamide Sheet Mask","USD","15.18","Mex$ 15.18","66.01","Mex$ 66.01","#11","12167","https://www.yesstyle.com/en/aplb-glutathione-niacinamide-sheet-mask-25ml/info.html/pid.1124536886"
"2026-08-24","11","1113888108","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum","USD","170.53","Mex$ 170.53","315.84","Mex$ 315.84","#12","34179","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-50ml/info.html/pid.1113888108"
"2026-08-24","12","1129356823","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum Jumbo","USD","261.79","Mex$ 261.79","490.6","Mex$ 490.60","#13","8518","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-jumbo/info.html/pid.1129356823"
"2026-08-24","13","1122974582","ROUND LAB","Birch Juice Moisturizing Sunscreen","USD","234.42","Mex$ 234.42","299","Mex$ 299.00","#14","11023","https://www.yesstyle.com/en/round-lab-birch-juice-moisturizing-sunscreen-50ml/info.html/pid.1122974582"
"2026-08-24","14","1133472805","APLB","Collagen EGF Peptide Sheet Mask","USD","15.18","Mex$ 15.18","66.01","Mex$ 66.01","#15","4460","https://www.yesstyle.com/en/aplb-collagen-egf-peptide-sheet-mask-25ml/info.html/pid.1133472805"
"2026-08-24","15","1135801052","Dr. Althea","345 Relief Cream Mist","USD","286.24","Mex$ 286.24","406.38","Mex$ 406.38","#16","4827","https://www.yesstyle.com/en/dr-althea-345-relief-cream-mist-100ml/info.html/pid.1135801052"
"2026-08-24","16","1132942898","Anua","Niacinamide 10 TXA 4 Serum","USD","297.08","Mex$ 297.08","435.86","Mex$ 435.86","#17","15534","https://www.yesstyle.com/en/anua-niacinamide-10-txa-4-serum-2024-version-30ml/info.html/pid.1132942898"
"2026-08-24","17","1077182361","SKIN1004","Madagascar Centella Light Cleansing Oil","USD","227.37","Mex$ 227.37","421.12","Mex$ 421.12","#18","23619","https://www.yesstyle.com/en/skin1004-madagascar-centella-light-cleansing-oil-200ml/info.html/pid.1077182361"
"2026-08-24","18","1074113181","ROUND LAB","1025 Dokdo Cleanser","USD","170.53","Mex$ 170.53","326.37","Mex$ 326.37","#19","12110","https://www.yesstyle.com/en/round-lab-1025-dokdo-cleanser-150ml/info.html/pid.1074113181"
"2026-08-24","19","1067114916","SKIN1004","Madagascar Centella Asiatica 100 Ampoule","USD","265.26","Mex$ 265.26","488.5","Mex$ 488.50","#20","19675","https://www.yesstyle.com/en/skin1004-madagascar-centella-asiatica-100-ampoule-100ml/info.html/pid.1067114916"
"2026-08-24","20","1105145092","Purito SEOUL","Oat-In Calming Gel Cream","USD","295.62","Mex$ 295.62","328.47","Mex$ 328.47","#21","11768","https://www.yesstyle.com/en/purito-seoul-oat-in-calming-gel-cream-100ml/info.html/pid.1105145092"
"2026-08-24","21","1052684647","COSRX","Acne Pimple Master Patch","USD","66.33","Mex$ 66.33","88.44","Mex$ 88.44","#22","43406","https://www.yesstyle.com/en/cosrx-acne-pimple-master-patch-24-patches/info.html/pid.1052684647"
"2026-08-24","22","1077182367","SKIN1004","Madagascar Centella Ampoule Foam","USD","170.53","Mex$ 170.53","332.68","Mex$ 332.68","#23","13780","https://www.yesstyle.com/en/skin1004-madagascar-centella-ampoule-foam-125ml/info.html/pid.1077182367"
