date,rank,id,brand,name,currency,priceNum,price,originalPriceNum,originalPrice,badge,reviewCount,link
"2026-04-26","0","1107744417","Beauty of Joseon","Relief Sun: Rice + Probiotics","USD","14.4","US$ 14.40","18","US$ 18.00","#1","25584","https://www.yesstyle.com/en/beauty-of-joseon-relief-sun-rice-probiotics-50ml/info.html/pid.1107744417"
"2026-04-26","1","1130946339","celimax","The Vita-A Retinal Shot Tightening Booster","USD","19.2","US$ 19.20","24","US$ 24.00","#2","9981","https://www.yesstyle.com/en/celimax-the-vita-a-retinal-shot-tightening-booster-15ml/info.html/pid.1130946339"
"2026-04-26","2","1124698946","Dr. Althea","345 Relief Cream","USD","22.95","US$ 22.95","27","US$ 27.00","#3","23522","https://www.yesstyle.com/en/dr-althea-345-relief-cream-renewed-50ml/info.html/pid.1124698946"
"2026-04-26","3","1121503383","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum Twin Pack","USD","19.69","US$ 19.69","25.2","US$ 25.20","#4","23590","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-twin-pack/info.html/pid.1121503383"
"2026-04-26","4","1113888108","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum","USD","9.5","US$ 9.50","15","US$ 15.00","#5","29307","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-50ml/info.html/pid.1113888108"
"2026-04-26","5","1130222654","Beauty of Joseon","Relief Sun Aqua-fresh","USD","14.4","US$ 14.40","18","US$ 18.00","#6","6364","https://www.yesstyle.com/en/beauty-of-joseon-relief-sun-aqua-fresh-50ml/info.html/pid.1130222654"
"2026-04-26","6","1124536886","APLB","Glutathione Niacinamide Sheet Mask","USD","0.98","US$ 0.98","4.26","US$ 4.26","#7","10206","https://www.yesstyle.com/en/aplb-glutathione-niacinamide-sheet-mask-25ml/info.html/pid.1124536886"
"2026-04-26","7","1136616200","Arencia","Vitamin C Booster Shot","USD","19.2","US$ 19.20","24","US$ 24.00","#8","1421","https://www.yesstyle.com/en/arencia-vitamin-c-booster-shot-30ml/info.html/pid.1136616200"
"2026-04-26","8","1129733663","Purito SEOUL","Mighty Bamboo Panthenol Cream","USD","16.1","US$ 16.10","23","US$ 23.00","#9","15557","https://www.yesstyle.com/en/purito-seoul-mighty-bamboo-panthenol-cream-100ml/info.html/pid.1129733663"
"2026-04-26","9","1132449411","Anua","Azelaic Acid 10 Hyaluron Redness Soothing Serum","USD","22","US$ 22.00","0","","#10","7594","https://www.yesstyle.com/en/anua-azelaic-acid-10-hyaluron-redness-soothing-serum-30ml/info.html/pid.1132449411"
"2026-04-26","10","1105145092","Purito SEOUL","Oat-In Calming Gel Cream","USD","13.7","US$ 13.70","19.5","US$ 19.50","#11","8673","https://www.yesstyle.com/en/purito-seoul-oat-in-calming-gel-cream-100ml/info.html/pid.1105145092"
"2026-04-26","11","1133472805","APLB","Collagen EGF Peptide Sheet Mask","USD","0.98","US$ 0.98","4.26","US$ 4.26","#12","2937","https://www.yesstyle.com/en/aplb-collagen-egf-peptide-sheet-mask-25ml/info.html/pid.1133472805"
"2026-04-26","12","1077182361","SKIN1004","Madagascar Centella Light Cleansing Oil","USD","12.5","US$ 12.50","20","US$ 20.00","#13","21584","https://www.yesstyle.com/en/skin1004-madagascar-centella-light-cleansing-oil-200ml/info.html/pid.1077182361"
"2026-04-26","13","1122974582","ROUND LAB","Birch Juice Moisturizing Sunscreen","USD","19.6","US$ 19.60","28","US$ 28.00","#14","8618","https://www.yesstyle.com/en/round-lab-birch-juice-moisturizing-sunscreen-50ml/info.html/pid.1122974582"
"2026-04-26","14","1120355496","Mary&May","Tranexamic Acid + Glutathione Eye Cream Mini","USD","2.6","US$ 2.60","4.13","US$ 4.13","#15","7558","https://www.yesstyle.com/en/mary-may-tranexamic-acid-glutathione-eye-cream-mini-12g/info.html/pid.1120355496"
"2026-04-26","15","1067114916","SKIN1004","Madagascar Centella Asiatica 100 Ampoule","USD","14.5","US$ 14.50","23.2","US$ 23.20","#16","17753","https://www.yesstyle.com/en/skin1004-madagascar-centella-asiatica-100-ampoule-100ml/info.html/pid.1067114916"
"2026-04-26","16","1137028002","Dr. Althea","345 Relief Cream Mini","USD","8.42","US$ 8.42","9.9","US$ 9.90","#17","471","https://www.yesstyle.com/en/dr-althea-345-relief-cream-mini-15ml/info.html/pid.1137028002"
"2026-04-26","17","1123474314","SKIN1004","Madagascar Centella Poremizing Quick Clay Stick Mask","USD","11.99","US$ 11.99","22","US$ 22.00","#18","17259","https://www.yesstyle.com/en/skin1004-madagascar-centella-poremizing-quick-clay-stick-mask-27g/info.html/pid.1123474314"
"2026-04-26","18","1131568455","EQQUALBERRY","Vitamin Illuminating Serum","USD","18.74","US$ 18.74","24.99","US$ 24.99","#19","5051","https://www.yesstyle.com/en/eqqualberry-vitamin-illuminating-serum-30ml/info.html/pid.1131568455"
"2026-04-26","19","1126934079","KSECRET","SEOUL 1988 Serum : Retinal Liposome 2% + Black Ginseng","USD","15.4","US$ 15.40","22","US$ 22.00","#20","11133","https://www.yesstyle.com/en/ksecret-seoul-1988-serum-retinal-liposome-2-black-ginseng-30ml/info.html/pid.1126934079"
