date,rank,id,brand,name,currency,priceNum,price,badge,reviewCount,link
"2026-04-21","81","1134047328","medicube","PDRN Pink Collagen Gel Mask Set","USD","35.32","US$ 35.32","","873","https://www.yesstyle.com/en/medicube-pdrn-pink-collagen-gel-mask-set-28g-x-4-sheets/info.html/pid.1134047328"
"2026-04-21","82","1083257472","TIRTIR","Milk Skin Toner Jumbo","USD","28.5","US$ 28.50","","6080","https://www.yesstyle.com/en/tirtir-milk-skin-toner-jumbo-150ml/info.html/pid.1083257472"
"2026-04-21","83","1137172064","Dr.Reju-All","Advanced PDRN Rejuvenating Cream","USD","46","US$ 46.00","","46","https://www.yesstyle.com/en/dr-reju-all-advanced-pdrn-rejuvenating-cream-20ml/info.html/pid.1137172064"
"2026-04-21","84","1134226130","mixsoon","Bean Sun Serum","USD","26.28","US$ 26.28","","1134","https://www.yesstyle.com/en/mixsoon-bean-sun-serum-50ml/info.html/pid.1134226130"
"2026-04-21","85","1136952694","Centellian24","Madeca Cream Time Reverse Mini","USD","15","US$ 15.00","","116","https://www.yesstyle.com/en/centellian24-madeca-cream-time-reverse-mini-15ml/info.html/pid.1136952694"
"2026-04-21","86","1136854881","Anua","PDRN Hyaluronic Acid Hydrating Capsule Mist","USD","25","US$ 25.00","","418","https://www.yesstyle.com/en/anua-pdrn-hyaluronic-acid-hydrating-capsule-mist-100ml/info.html/pid.1136854881"
"2026-04-21","87","1136216665","numbuzin","No.1 Clear Filter Sun Essence","USD","24","US$ 24.00","","2435","https://www.yesstyle.com/en/numbuzin-no-1-clear-filter-sun-essence-50ml/info.html/pid.1136216665"
"2026-04-21","88","1128819058","COSRX","Ultra Light Invisible Sunscreen","USD","16","US$ 16.00","","2151","https://www.yesstyle.com/en/cosrx-ultra-light-invisible-sunscreen-50ml/info.html/pid.1128819058"
"2026-04-21","89","1132570151","celimax","Noni Ampoule Calming + Radiance Jumbo","USD","35","US$ 35.00","","5731","https://www.yesstyle.com/en/celimax-noni-ampoule-calming-radiance-jumbo-50ml/info.html/pid.1132570151"
"2026-04-21","90","1118209017","mixsoon","Centella Cleansing Foam","USD","18","US$ 18.00","","4452","https://www.yesstyle.com/en/mixsoon-centella-cleansing-foam-2024-version-150ml/info.html/pid.1118209017"
"2026-04-21","91","1103053933","ETUDE","Drawing Eyebrow - 7 Colors","USD","4.3","US$ 4.30","","12892","https://www.yesstyle.com/en/etude-drawing-eyebrow-7-colors-07-light-brown/info.html/pid.1103053933"
"2026-04-21","92","1115102667","peripera","Speedy Skinny Brow Mascara - 10 Colors","USD","6.8","US$ 6.80","","2751","https://www.yesstyle.com/en/peripera-speedy-skinny-brow-mascara-10-colors-04-ash-brown/info.html/pid.1115102667"
"2026-04-21","93","1134562169","Purito SEOUL","Mighty Bamboo Panthenol Cream Bundle Set","USD","46","US$ 46.00","","15423","https://www.yesstyle.com/en/purito-seoul-mighty-bamboo-panthenol-cream-bundle-set-2-pcs/info.html/pid.1134562169"
"2026-04-21","94","1131703598","AZTK","Jello Color Liquid Blush - 7 Colors","USD","10.6","US$ 10.60","","1700","https://www.yesstyle.com/en/aztk-jello-color-liquid-blush-7-colors-jc07-orange-ice-cream-5ml/info.html/pid.1131703598"
"2026-04-21","95","1134551573","ROUND LAB","Birch Juice Moisturizing Sunscreen Bundle Set","USD","56","US$ 56.00","","8561","https://www.yesstyle.com/en/round-lab-birch-juice-moisturizing-sunscreen-bundle-set-2-pcs/info.html/pid.1134551573"
"2026-04-21","96","1130119226","ROUND LAB","Birch Juice Hand Cream","USD","8.5","US$ 8.50","","1247","https://www.yesstyle.com/en/round-lab-birch-juice-hand-cream-30ml/info.html/pid.1130119226"
"2026-04-21","97","1039417845","LANEIGE","Lip Sleeping Mask EX Berry","USD","16.7","US$ 16.70","","11540","https://www.yesstyle.com/en/laneige-lip-sleeping-mask-ex-berry-new-mint-choco-ex/info.html/pid.1039417845"
"2026-04-21","98","1124066776","medicube","Collagen Jelly Cream","USD","39.48","US$ 39.48","","4634","https://www.yesstyle.com/en/medicube-collagen-jelly-cream-110ml/info.html/pid.1124066776"
"2026-04-21","99","1137154808","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum Jumbo Bundle Set","USD","46.6","US$ 46.60","","0","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-jumbo/info.html/pid.1137154808"
"2026-04-21","100","1113064820","SKIN1004","Madagascar Centella Hyalu-Cica Moisture Cream","USD","17.5","US$ 17.50","","1734","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-moisture-cream-75ml/info.html/pid.1113064820"
"2026-04-21","101","1125962759","Dr. Althea","147 Barrier Cream","USD","27","US$ 27.00","","1695","https://www.yesstyle.com/en/dr-althea-147-barrier-cream-2023-version-50ml/info.html/pid.1125962759"
"2026-04-21","102","1128582991","EQQUALBERRY","Swimming Pool Toner 300ml","USD","27","US$ 27.00","","6179","https://www.yesstyle.com/en/eqqualberry-swimming-pool-toner-300ml-300ml/info.html/pid.1128582991"
"2026-04-21","103","1038745536","innisfree","No-Sebum Mineral Powder","USD","9","US$ 9.00","","6274","https://www.yesstyle.com/en/innisfree-no-sebum-mineral-powder/info.html/pid.1038745536"
"2026-04-21","104","1126652949","romand","Glasting Color Gloss - 7 Colors","USD","13.99","US$ 13.99","","5855","https://www.yesstyle.com/en/romand-glasting-color-gloss-7-colors-06-deepen-moor/info.html/pid.1126652949"
"2026-04-21","105","1077182357","SKIN1004","Madagascar Centella Toning Toner","USD","21.1","US$ 21.10","","3445","https://www.yesstyle.com/en/skin1004-madagascar-centella-toning-toner-210ml/info.html/pid.1077182357"
"2026-04-21","106","1134135585","Laka","Fruity Glam Tint Mini - 80 Colors","USD","12","US$ 12.00","","634","https://www.yesstyle.com/en/laka-fruity-glam-tint-mini-80-colors-101-joyful/info.html/pid.1134135585"
"2026-04-21","107","1134869264","VT","PDRN Capsule Cream 100","USD","33.19","US$ 33.19","","1919","https://www.yesstyle.com/en/vt-pdrn-capsule-cream-100-50ml/info.html/pid.1134869264"
"2026-04-21","108","1124133306","COSRX","The 6 Peptide Skin Booster","USD","25","US$ 25.00","","8900","https://www.yesstyle.com/en/cosrx-the-6-peptide-skin-booster-150ml/info.html/pid.1124133306"
"2026-04-21","109","1096685001","romand","Juicy Lasting Tint 2020 F/W Series - 4 Colors","USD","14","US$ 14.00","","5841","https://www.yesstyle.com/en/romand-juicy-lasting-tint-2020-f-w-series-4-colors-21-deep-sangria/info.html/pid.1096685001"
"2026-04-21","110","1063505379","Beauty of Joseon","Dynasty Cream","USD","24","US$ 24.00","","4872","https://www.yesstyle.com/en/beauty-of-joseon-dynasty-cream-50g/info.html/pid.1063505379"
"2026-04-21","111","1124413504","TIRTIR","Mask Fit Red Cushion Mini - 40 Colors","USD","15","US$ 15.00","","5196","https://www.yesstyle.com/en/tirtir-mask-fit-red-cushion-mini-40-colors-55n-espresso/info.html/pid.1124413504"
"2026-04-21","112","1050282216","Elizavecca","Milky Piggy CER-100 Collagen Ceramide Coating Protein Treatment","USD","11.4","US$ 11.40","","4820","https://www.yesstyle.com/en/elizavecca-milky-piggy-cer-100-collagen-ceramide-coating-protein-treatment/info.html/pid.1050282216"
"2026-04-21","113","1058331256","ISEHAN","Kiss Me Heroine Make Speedy Mascara Remover Blue Packing","USD","8.8","US$ 8.80","","4314","https://www.yesstyle.com/en/isehan-kiss-me-heroine-make-speedy-mascara-remover-blue-packing-6/info.html/pid.1058331256"
"2026-04-21","114","1102347736","haruharu wonder","Black Rice Hyaluronic Toner Fragrance Free","USD","18","US$ 18.00","","6772","https://www.yesstyle.com/en/haruharu-wonder-black-rice-hyaluronic-toner-fragrance-free-150ml/info.html/pid.1102347736"
"2026-04-21","115","1135919200","Derma: B","Everyday Sun Block","USD","21.9","US$ 21.90","","1060","https://www.yesstyle.com/en/derma-b-everyday-sun-block-200ml/info.html/pid.1135919200"
"2026-04-21","116","1118864369","mixsoon","Bean Cleansing Oil Jumbo","USD","25","US$ 25.00","","4309","https://www.yesstyle.com/en/mixsoon-bean-cleansing-oil-jumbo-195ml/info.html/pid.1118864369"
"2026-04-21","117","1129049939","Beauty of Joseon","Glow Replenishing Rice Milk","USD","18","US$ 18.00","","3256","https://www.yesstyle.com/en/beauty-of-joseon-glow-replenishing-rice-milk-150ml/info.html/pid.1129049939"
"2026-04-21","118","1137150337","Anua","Azelaic Acid 10 Hyaluron Redness Soothing Serum Bundle Set","USD","44","US$ 44.00","","0","https://www.yesstyle.com/en/anua-azelaic-acid-10-hyaluron-redness-soothing-serum-bundle-set-2/info.html/pid.1137150337"
"2026-04-21","119","1131989391","Biodance","Bio-Collagen Real Deep Mask Set","USD","19","US$ 19.00","","2370","https://www.yesstyle.com/en/biodance-bio-collagen-real-deep-mask-set-34g-x-4-sheets/info.html/pid.1131989391"
"2026-04-21","120","1062581559","COSRX","Clear Fit Master Patch","USD","6","US$ 6.00","","4883","https://www.yesstyle.com/en/cosrx-clear-fit-master-patch/info.html/pid.1062581559"
"2026-04-21","121","1127631957","VT","Reedle Shot Lifting Eye Cream","USD","25.92","US$ 25.92","","1163","https://www.yesstyle.com/en/vt-reedle-shot-lifting-eye-cream-15ml/info.html/pid.1127631957"
"2026-04-21","122","1134538838","SKIN1004","Lab in Nature Madagascar Centella Retinol 0.2 Boosting Shot Ampoule","USD","24","US$ 24.00","","1854","https://www.yesstyle.com/en/skin1004-lab-in-nature-madagascar-centella-retinol-0-2-boosting-shot/info.html/pid.1134538838"
